"Sales of Electricity to Ultimate Customers by End-Use Sector in 2016 and 2017, by State",,,,,,,,,,,
,Residential,Commercial,Industrial,Transportation,All Sectors,,Residential,Commercial,Industrial,Transportation,All Sectors
Idaho,"8,172","6,279","8,612",0,"23,063",,"8,728","6,421","8,645",0,"23,794"
Montana,"4,853","4,832","4,416",0,"14,101",,"5,225","4,970","4,515",0,"14,710"
Nevada,"12,692","9,929","13,515",8,"36,145",,"12,937","11,123","12,590",9,"36,658"
New Mexico,"6,643","8,806","7,591",0,"23,040",,"6,497","8,784","7,728",0,"23,010"
Utah,"9,371","11,565","9,187",57,"30,180",,"9,511","11,739","9,283",56,"30,589"
Wyoming,"2,751","3,762","10,041",0,"16,555",,"2,772","3,762","10,244",0,"16,778"
Pacific Contiguous,"141,096","161,824","89,349",812,"393,081",,"147,472","164,053","86,868",867,"399,260"
California,"88,311","116,775","50,979",782,"256,847",,"90,124","117,682","48,627",835,"257,268"
Oregon,"18,573","16,060","12,692",24,"47,349",,"20,066","16,571","13,382",25,"50,044"
Washington,"34,212","28,989","25,678",6,"88,885",,"37,283","29,800","24,859",7,"91,948"
Pacific Noncontiguous,"4,618","5,843","5,108",0,"15,569",,"4,690","5,787","5,033",0,"15,510"
Alaska,NM,"2,731","1,385",0,"6,123",,"2,060","2,705","1,421",0,"6,186"
Hawaii,"2,612","3,111","3,722",0,"9,445",,"2,630","3,082","3,613",0,"9,324"
U.S. Total,"1,411,058","1,367,191","976,715","7,497","3,762,462",,"1,378,648","1,352,888","984,298","7,523","3,723,356"
